Arginine;Urea cycle, Arginine, Proline, Glycene, Serine, Threonine metabolism, transcription and translation, stimulates secretion of growth hormones (growth hormones and prolactin), AMPK activator, inducer of protein synthesis through mTOR, is implicated in metabolic disorders linked to phgdh deficiency;derivative of glutamine, precursor of NO, glutamate, proline, creatinine, urea, can be converted to glucose and glycogen if needed,
Glycolic acid;NA;metabolised into oxalic acid, can supressed melanin formation, weakens binding properties of lipids, associated with fumarase deficiency
Hydroxylamine;NA;potentially mutagenic, lung irritant, NO donator
Ethanolamine;Phospolipid and Phosphadydilcholine biosynthesis;phosphatidylcholine (PC) and phosphatidylethanolamine (PE), O-phosphoethanolamine precursor.
Guanidine;roles in anti-aging, mineral metabolism, and vitamin D metabolism, NADPH oxidase inhibition;NA
Urea;Arginine, proline metabolism, Urea cycle;NA
Glycerol;Glycerolypid, Galactose, Lipid metabolism;can be converted to glucose in the liver, is derived from degradation of lipids
Phosphate;Cell metabolism, cellular energetics, Acetaminophen metabolism pathway, Aspartate, Alanine, Amino sugar, Arginine, Betaine, Cysteine , Folate, Histidine, Inositol, Inositol phosphate, Glutamate, Glutathione,  Methionine, Propanoate, Purine, Pyrimidine, Pyruvate, Riboflavin, Selenoamino acid, Sphingolipid, Starch and sucrose, Sulfate/sulfite, Thiamine, Glycene, Serine, Phosphatidylinositol phosphate metabolism, Ammonia recycling, Capecitabine metabolism pathway, Cardiolipin biosynthesis, TCA cycle, Clopidogrel metabolism pathway, De novo triacylglycerol biosynthesis, Doxorubicin metabolism pathway, Etoposide metabolism pathway, Fructose and mannose degradation, Galactose metabolism, Gluconeogenesis (glucose biosynthesis), Glycerol phosphate shuttle, Glycerolipid metabolism, Glycine and serine metabolism, Glycolysis, Irinotecan metabolism pathway, Lactose degradation, Lactose synthesis, Lamivudine metabolism pathway, Mercaptopurine metabolism pathway, Mitochondrial electron transport chain, Mycophenolic acid metabolism pathway, Nevirapine metabolism pathway, Nicotinate and nicotinamide metabolism, Pentose phosphate pathway, Plasmalogen synthesis, Spermidine and spermine biosynthesis, Steroid biosynthesis, Transfer of acetyl groups into mitochondria, Trehalose degradation, Urea cycle, Vitamin b6 metabolism;MMM
Creatinine;Antibacterial waste product, potentially immunosupressive;breakdown product of creatine, key participant in the generation of ATP
Hypotaurine;Antioxidant, neurotransmitter;Derivative of  cysteamine or 3-sulfinoalanine, precursor of taurine
Phosphoenolpyruvic acid;Gluconeogenesis (glucose biosynthesis) and glycolysis, pyruvate metabolism, amino sugar metabolism, Warburg effect;Derivative of 2-phosphoglycerate, and also GTP+oxaloacetate, metabolized to pyruvate
Pyrophosphate;Alanine metabolism, Amino sugar metabolism, Ammonia recycling, Arginine and proline metabolism, Aspartate metabolism, Betaine metabolism, Bile acid biosynthesis, Biotin  metabolism, Butyrate metabolism, Cardiolipin biosynthesis, Cysteine metabolism, Ethanol degradation, Fructose and mannose degradation, Galactose metabolism, Glutamate metabolism, Glycine and serine metabolism, Histidine metabolism, Inositol metabolism, Lactose synthesis, Lamivudine metabolism pathway, Mercaptopurine metabolism pathway, Methionine metabolism, Mitochondrial beta-oxidation of long chain saturated fatty acids, Mitochondrial beta-oxidation of medium chain saturated fatty acids, Mitochondrial beta-oxidation of short chain saturated fatty acids, Nicotinate and nicotinamide metabolism, Nucleotide sugars metabolism, Oxidation of branched chain fatty acids, Pantothenate and coa biosynthesis, Phenylacetate metabolism, Phenylalanine and tyrosine metabolism, Once in the body, phenylalanine may follow any of three paths. it may be (1) incorporated into cellular proteins, (2) converted to phenylpyruvic acid, or (3) converted to tyrosine, Phosphatidylcholine biosynthesis, Phosphatidylethanolamine biosynthesis, Phytanic acid peroxisomal oxidation, Propanoate metabolism, Purine metabolism, Pyrimidine metabolism, Pyruvate metabolism, Riboflavin metabolism, Selenoamino acid metabolism, Spermidine and spermine biosynthesis, Starch and sucrose metabolism, Steroid biosynthesis, Sulfate/sulfite metabolism, Thioguanine metabolism pathway, Transcription/translation, Tryptophan metabolism, Ubiquinone biosynthesis, Urea cycle, Valproic acid metabolism pathway;Formed by the hydrolysis of ATP into AMP in cells
Ribitol;PPP;Formed by the reduction of ribose
Xylitol;NA;Xylose derivative
Beta-Glycerophosphoric acid;Inhibitor of  serine-threonine phosphatase;used to drive osteogenic differentiation of bone marrow stem cells
cis-Aconitic acid;TCA;is degraded into itaconate in mitochondria  (by succinate-CoA) and downregulates ROS and pro-infl. Cytokine production, and directly inhibits bacterial multiplication (Brucella, M. tubercolosis)
Glycerol 3-phosphate;Glycerol-3-phosphate (Gro3P) lies at the crossroads of glucose, lipid, and energy metabolism, glycolysis, Gluconeogenesis (glucose biosynthesis), lipid synthesis,  Glycerol 3-phosphate shuttle;Reduction of  dihydroxyacetone phosphate by Phgdh, or via  glyceroneogenesis from amino acids or TCA intermediates. Production of glycerol from glucose via.
Lyxonic acid;NA;L-ascorbic acid derivative
O-Phosphoethanolamine;Lamivudine metabolism pathway, Phosphatidylcholine biosynthesis, Phosphatidylethanolamine biosynthesis, Sphingolipid metabolism;cytidine triphosphate and ethanolamine derivative. Used for phosphatidylcholine and sfingolypid biosynthesis
3-Phosphoglyceric acid;Warburg effect, Glycerolipid metabolism, Glycene, Serine and Threonine metabolism, Glycolysis, Gluconeogenesis (glucose biosynthesis),;can be biosynthesized from glyceric acid 1,3-biphosphate, catalyzed by phosphoglycerate kinase 1.  In addition, 3PG can be converted into 2-phospho-D-glyceric acid, which is catalyzed by the enzyme phosphoglycerate mutase
Quinic acid;Inhibiting the MAP kinase and NF-κB signaling pathways and the adhesion capacity of VSMC. Inhibitory effect on inflammatory activation and oxidative stress in macrophages.;can be converted to caffeoyl-quinic acid (chlorogenic acid)
Pantothenic acid;synthesis of carbohydrates, proteins, and fats, beta-alanine metabolism, pantothenate and CoA Biosynthesis;Needed to form Coenzyme-A
Palmitic acid;Bile acid biosynthesis, Fatty acid biosynthesis, Fatty acid elongation in mitochondria, Glycerolipid metabolism, Steroid biosynthesis;Used in the biosynthesis of stearic acid
PS3_Pentulose 5P Xylulose;MMM;MMM
Stearic acid;Mitochondrial beta-oxidation of long chain saturated fatty acids, Plasmalogen synthesis;Produced via the fatty acid synthesis machinery wherein acetyl-CoA contributes two-carbon building blocks, up to the 16-carbon palmitic acid, using Acetyl-CoA and Malonyl-CoA
PS5_Hexose 6P 1M5T Glucose6p;Glyolysis, Glucose synthesis, PPP;a glucose sugar phosphorylated at the hydroxy group on carbon 6. This dianion is very common in cells as the majority of glucose entering a cell will become phosphorylated in this way. Can be derived from and converted to Glucose and Fructose 6P 
Serotonin;Tryptophan metabolism;MMM
Myo-inositol 1-phosphate;MMM;Myo-inositol
Adenosine;Neurotransmitter and potent vasodilator, Betaine, Methionine, Purine, Selenoamino acid metabolism;Composed of adenine, and D-ribose, and a component of DNA and RNA. Important role of energy transfer between adenosine triphosphate and adenosine diphosphate and signal transduction as cyclic adenosine monophosphate. A precursor to deoxyadenosine, which is a precursor to dATP, which when builds up prevents DNA synthesis and cell-replication which limits immune response.  
Adenosine monophosphate;Fatty acid metabolism, Alanine metabolism, Ammonia recycling, Arginine and proline metabolism, Aspartate metabolism, Butyrate metabolism, Cysteine metabolism, Ethanol degradation, Glutamate metabolism, Glycine and serine metabolism, Histidine metabolism, Mercaptopurine metabolism pathway, Methionine metabolism, Mitochondrial beta-oxidation of long chain saturated fatty acids, Mitochondrial beta-oxidation of medium chain saturated fatty acids, Mitochondrial beta-oxidation of short chain saturated fatty acids, Nicotinate and nicotinamide metabolism, Pantothenate and coa biosynthesis, Pentose phosphate pathway, Phenylacetate metabolism, Phenylalanine and tyrosine metabolism, Propanoate metabolism, Purine metabolism, Pyruvate metabolism, Riboflavin metabolism, Selenoamino acid metabolism, Thiamine metabolism, Transcription/translation, Urea cycle, Valproic acid metabolism pathway;Makes bitter food taste sweeter, can be produced during ATP synthesis by the enzyme adenylate kinase
Cholesterol;Bile acid biosynthesis, Steroid biosynthesis, Steroidogenesis;precursor of bile acids, vitamin D, and steroid hormones (glucocorticoids, estrogens, progesterones, androgens and aldosterone
Uracil;Beta-alanine and Pyrimidine metabolism;Can be converted to thymin by methilation
Beta-Alanine;A central nervous system (CNS) depressant and is an inhibitor of GABA transaminase. Reduces levels of taurine.  Aspartate metabolism, Beta-alanine metabolism, Histidine metabolism, Propanoate metabolism, Pyrimidine metabolism;carnosine and pantothenic acid (vitamin B-5) precursor, usually metabolized into acetic acid. with pyruvate it can form malonate-semialdehyde and L-alanine.
Pyroglutamic acid;glutathione cycle, acidosis;Glutamic acid/Glutamin derivative. Is converted to urea
4-Hydroxy-proline;NA;Hydroxyproline is produced by hydroxylation of the amino acid proline and is, therefore, a post-translationally modified, non-essential amino acid. Main constituent of collagen and elastin. It is an indicator to determine collagen and/or gelatin amount, and increased levels can be indicative of tissue damage, depression, stress, ROS. A deficiency in ascorbic acid can result in impaired hydroxyproline formation.
Adenine;Riboflavin metabolism, nucleic acid synhesis;Adenosine, Adenosine monophosphate (AMP), ATP, ADP precursor
Gluconic acid;Gluconate degradation, Ketogluconate metabolism, Anti-inflammatory properties with Zn, PPP;Glucose derivative (C1-oxidized form of D-glucose), can be phosphorylated b gluconate kinase to produce 6-phosphogluconate. 
Aminoadipic acid;Lysine metabolism;Intermediate between Lysine and saccharopine, hyperglycemia of endothelial cells can also lead to elevated levels of aminoadipate which is thought to be a sign of lysine breakdown. A potential small molecule marker of oxidative stress
